PN,DESCRIPTION,COMPONENT PN,CERTIFICATE,QTY,Owner
GZLD56040-4-28,螺钉,980-4100-DXUS,Confirm When Quote,2,HX
GZLDMS24693C5,螺钉,980-4100-DXUS,Confirm When Quote,37,HX
GZLDMS51957-43,SCREW,980-4100-DXUS,Confirm When Quote,48,HX
GZZC400-0056-003,BEARING,,Confirm When Quote,2,HX
H140AAC50,平衡块,H341ANMI,JAA FORM1,2,HX
H140AAC50,平衡块,H341ANMI,JAA FORM1,5,HX
H140AAC52,线圈,,Confirm When Quote,4,HX
H150AK46,FUSE,H341BWM,EASA,2,HX
H301AB14,ROD,H301AKM1,Confirm When Quote,1,HX
H321AA10,HOUSING,H321BHM1,OEM COC,1,HX
H9991CT-ND,Contacts,9651-35-0001,Confirm When Quote,10,HX
HA80-0U1,FUSE,,Confirm When Quote,4,HX
HA9P4905-5,IC,065-50000-0509,FAA,5,HX
HB8135A,数字面板表,1152426-245,Confirm When Quote,1,HX
HC138,IC,759D0000-02,FAA,3,HX
HC49S-4.000MHZ,CRYSTAL,064-50002-0101,Confirm When Quote,3,HX
HCPL2530,光耦,,Confirm When Quote,2,HX
HCT541M,IC,759D0000-02,FAA,2,HX
HD14020BP,IC,60B50058-6,Confirm When Quote,5,HX
HDSP-2531,DISPLAY,C19298AF05,FAA,1,HX
HE809EF080AY1H3-0-8,"CONNECTOR,RECEPTACLE",AMU4031LA140204,FAA,1,HX
HFW1201D24,"RELAY, ELECTROMAGNETIC",LA2B00700H3210A,Confirm When Quote,7,HX
HFW1201S286,relay,3720-00-00,FAA,2,HX
HG480B42,ADC,HG480B42,FAA,1,HX
HGRM57212WOO,RELAY,,Confirm When Quote,3,HX
HI1-5043-8,A1 U41,49-095-05,Confirm When Quote,3,HX
HI1-5046-8,"IC,A3U48",49-117-10,FAA,3,HX
HI1-506A-2,IC,600611-00-601,Confirm When Quote,4,HX
HI1-506A-8,IC,66501-005-1,Confirm When Quote,1,HX
HI1-506A-8,IC,66501-005-1,Confirm When Quote,4,HX
HI4-547/883,IC,B546CCM0106,Confirm When Quote,1,HX
HM1-65642C/883,IC,,Confirm When Quote,1,HX
HM3-65162C-9,"IC,SRAM",1663214301,FAA,5,HX
HM62256LP12,IC,3907130402,FAA,5,HX
HM6264LP15,IC,3214-91,FAA,4,HX
HM6264LP15,IC,3214-91,FAA,5,HX
HM628512LFPI7,IC,LA2T0G20705C070,FAA,3,HX
HN4062013-6,CAP,HG480B20,Confirm When Quote,3,HX
HN4062020-4,RESISTOR,HG480B42,FAA,1,HX
HPP096AMBK0320,CONNECTOR,664700500A4D,Confirm When Quote,1,HX
HS1-3182-8HARRI,"IC, ARINC 429 INTERFACE",49-170-11,Confirm When Quote,1,HX
HTN0000617401,MICROCIRCUIT MICRO CONTROLLER,84333-00-0304,Confirm When Quote,1,HX
HTN0000617402,MICROCIRCUIT FEPROM,84333-00-0304,Confirm When Quote,2,HX
HTN0000619731,MICROCIRCUIT SRAM 512KA8,84333-00-0304,EASA,4,HX
HTN0000620892,DIODE,200301E00000308,Confirm When Quote,4,HX
HTN0000922252,IC,3214-92,Confirm When Quote,2,HX
HTN0000948085,relay,3284-14,Confirm When Quote,2,HX
HTN0000948086,relay,3284-14,Confirm When Quote,1,HX
HTN0000948106,relay,3284-14,Confirm When Quote,1,HX
HTN0000986002,IC,3250-81,Confirm When Quote,11,HX
HTN0000986820,OPTOCOUPLER,835677,Confirm When Quote,3,HX
HTN0001002725,IC - OP AMP,835677,Confirm When Quote,5,HX
HTN0001025410,OPTOCOUPLER,200301E00000308,Confirm When Quote,2,HX
HTN4002021575,INDUCTOR,1982660116,Confirm When Quote,2,HX
HTN4002050324,PI FILTER,9615325060,Confirm When Quote,2,HX
HTN4002060778,relay,1982660116,OEM COC,1,HX
HTN4008110291,"DIODE, SCHOTTKY",1982660109,Confirm When Quote,2,HX
HTN4017010476,ALU-ELKO,1982660116,Confirm When Quote,4,HX
HTN4024030663,N-MOS-FET,1982660116,OEM COC,4,HX
HTN4024110040,TRANSISTOR,9615325060,Confirm When Quote,2,HX
ID80C88-2,IC,49-117-10,Confirm When Quote,1,HX
IDT6116LA120DB,"IC,RAM",49-170-07,FAA,4,HX
IDT71256L35J,IC,115370-1016,Confirm When Quote,2,HX
IDT71256S35TDB,IC,622-9436-101,FAA,10,HX
IDT7202LA25S0I,IC,965-1690-052,FAA,2,HX
IFRP150N,TRANSISTOR,964-0453-001,Confirm When Quote,1,HX
IL213AT,IC,49-170-11,Confirm When Quote,24,HX
ILD207T,PHOTOCOUPLER,622-9436-101,FAA,9,HX
IN6627,DIODE,824392-1-002,Confirm When Quote,1,HX
IPD2132,IC,42-935-2,Confirm When Quote,1,HX
IRF120,TRANSISTOR,,Confirm When Quote,9,HX
IRF230,TRANSISTOR(圆形铁壳),965-0648-008,Confirm When Quote,7,HX
IRF644N,TRANSISTOR,2233000-815-1,FAA,21,HX
IRF710,TRANSISTOR,K282AAM0305,FAA,70,HX
IRF840,TRANSISTOR,176200-01-01,FAA,4,HX
IRFP054,TRANSISTOR,264BS101-1,Confirm When Quote,2,HX
IRFR5410,MOSFET VDSS=-100V,58960-4083345-2,Confirm When Quote,10,HX
IRFR9120NPBF,POWER MOSFET,,Confirm When Quote,3,HX
IRFR9120PBF-ND,DIODE,47215920BB00,Confirm When Quote,4,HX
IRFRC20PBF,TUBE,E709-01-100,Confirm When Quote,2,HX
ISC04032000,HOUSING,2233000-45,Confirm When Quote,2,HX
J710000011,CONNECTOR,RD-FW7795-21,FAA,1,HX
J710000037,"CONNECTOR,",RD-FW7805-10,FAA,2,HX
J770000001,CONNECTOR,RD-FA5002-02,FAA,4,HX
J770000001,CONNECTOR,RD-FA5002-02,FAA,5,HX
JAN1N4246,DIODE,89954-143D6354G2,FAA,4,HX
JAN1N6155A,DIODE,42-935-2,FAA,5,HX
JAN1N647-1,DIODE,755SUE2-4,Confirm When Quote,2,HX
JAN2N2907A,DYNATRON,49-095-05,FAA,2,HX
JAN2N2946A,TRANSISTOR,42-016-04,Confirm When Quote,6,HX
JAN2N3441,TANSISTOR,763810-1,FAA,38,HX
JAN2N3767,TRANSISTOR,HG480B42,Confirm When Quote,1,HX
JAN2N657/HS558083-9,TRANSISTOR,ED742951-9,Confirm When Quote,4,HX
JAN2N687,TRANSISTOR,-92763,FAA,6,HX
JANM38510-17101BCX,IC,,Confirm When Quote,1,HX
JANTX1N3020B,DIODE,740120B,FAA,2,HX
JANTX1N4117-1,DIODE,285T0557-2,FAA,1,HX
JANTX1N4247,DIODE,65-52801-64,Confirm When Quote,3,HX
JANTX1N4469,DIODE,BPS7-3,Confirm When Quote,5,HX
JANTX1N4473,DIODE,,Confirm When Quote,3,HX
JANTX1N4572A,DIODE,664700500A4D,FAA,8,HX
JANTX1N4942,DIODE,664700500A4D,Confirm When Quote,7,HX
JANTX1N4963,DIODE,617-6231-001,FAA,8,HX
JANTX1N4967US,DIODE,30128-01,Confirm When Quote,2,HX
JANTX1N4971,DIODE,42-935-2,Confirm When Quote,6,HX
JANTX1N4974,DIODE,49-095-05,FAA,3,HX
JANTX1N4980,DIODE,2117342-20,FAA,1,HX
JANTX1N5557,DIODE,285T0015-116,Confirm When Quote,5,HX
JANTX1N5620,DIODE,4034559-912,Confirm When Quote,1,HX
JANTX1N5636A,IC,30042-0000-0501,FAA,2,HX
JANTX1N5642A,DIODE,49-117-10,FAA,3,HX
JANTX1N5642A,DIODE,49-117-10,FAA,4,HX
JANTX1N5645A,DIODE,622814-5,Confirm When Quote,1,HX
JANTX1N5653A,DIODE,7121-19971-01AC,FAA,4,HX
JANTX1N5806,DIODE,42-935-2,Confirm When Quote,6,HX
JANTX1N6068A,DIODE,K226ABM4,Confirm When Quote,2,HX
JANTX1N6072A,DIODE,166805-14-01,FAA,1,HX
JANTX1N6149A,DIODE,49-117-10,FAA,1,HX
JANTX1N6155A,DIODE,42-935-2,FAA,1,HX
JANTX1N6156A,DIODE,42-935-2,FAA,1,HX
JANTX1N6164A,DIODE,1152466-250,FAA,2,HX
JANTX1N6474,DIODE,42-935-2,Confirm When Quote,4,HX
JANTX1N974B1,DIODE,965-0648-005,Confirm When Quote,8,HX
JANTX2N1893,TRANSISTOR,785620-3,FAA,2,HX
JANTX2N2219A,TRANSISTOR,763810-1,Confirm When Quote,6,HX
JANTX2N2329,SCR,701285,EASA,2,HX
JANTX2N2329,SCR,701285,Confirm When Quote,1,HX
JANTX2N2905A,TRANSISTOR,9599-607-14931,EASA,1,HX
JANTX2N3019S,TRANSISTOR,948F458-5,FAA,1,HX
JANTX2N3584,TRANSISTOR,69-55179-78,Confirm When Quote,2,HX
JANTX2N3585,TRANSISTOR,740120C,FAA,1,HX
JANTX2N3700,TRANSISTOR,664700500A4D,FAA,4,HX
JANTX2N3716,TRANSISTOR,822-0990-003,FAA,3,HX
JANTX2N3735,TRANSISTOR,42-935-2,FAA,1,HX
JANTX2N3741,TRANSISTOR,2117388-15,Confirm When Quote,5,HX
JANTX2N4859,TRANSISTOR,,Confirm When Quote,5,HX
JANTX2N6251,TRANSISTOR,740120C,FAA,1,HX
JANTX2N6350,TRANSISTOR,285T0554-5,FAA,1,HX
JANTX2N6782,TRANSISTOR,U489ABM02,Confirm When Quote,3,HX
JANTX2N6847,"TRANSISTOR,",42-935-2,Confirm When Quote,1,HX
JANTX2N6847,"TRANSISTOR,",42-935-2,FAA,2,HX
JANTX2N6849,TRANSISTOR,785620-3,EASA,2,HX
JANTX2N6901,TRANSISTOR,42-935-2,Confirm When Quote,1,HX
JANTX2N6904,TRANSISTOR,1151952-15,FAA,1,HX
JANTX4N49,COUPLER,762187F,FAA,2,HX
JANTXIN4150-1,DIODE,822-0990-003,Confirm When Quote,31,HX
JANTXIN6054A,DIODE,65-52819-25,Confirm When Quote,5,HX
JANTXIN6054A,DIODE,65-52819-25,Confirm When Quote,3,HX
JANXIN6057A,DIODE,,Confirm When Quote,9,HX
JLJ2A,relay,2117342-20,FAA,1,HX
JM38510/11202BPA,IC,,Confirm When Quote,3,HX
JM38510/17101BCA,IC,65-52819-10,Confirm When Quote,2,HX
JM38510-05001BCB,I.C.,70450-01804-101,Confirm When Quote,7,HX
JM38510-05605BCB,TRANSISTOR,,Confirm When Quote,6,HX
JZC3-22E,接触式RELAY,,Confirm When Quote,1,HX
K1351-125-0-3,SCREW,664700500A4D,Confirm When Quote,20,HX
K157ABA96,PUSHBOTTON,K157ABM5,Confirm When Quote,1,HX
K1604-0003-0000,O-RING,LA2G007001D0000,OEM COC,17,HX
K301AA14,SCREW,K282AAM0406,EASA,1,HX
K301AA14,SCREW,K282AAM0406,EASA,1,HX
K304AA62,ALT KNOB,C12850AC03,EASA,1,HX
K304AA92,"KNOB,SPD",C12850BC02,Confirm When Quote,1,HX
K346032,CAPACITOR,785002-9,EASA,5,HX
K5H102300011,FUSE,RD-AV3006-03,FAA,2,HX
K5H162300004,FUSE,RD-AV3006-03,FAA,2,HX
K5H201B00001,FUSE (0.2A),RD-AV9843-02,FAA,3,HX
K5H401B00002,FUSE (0.4A),RD-AV9843-02,FAA,3,HX
K6X0808C1D-DF55,RAM,964-0453-001,FAA,5,HX
K6X1008C2D-TF70,"IC,SRAM",3945128102,FAA,5,HX
KA2788KA11,MOD KIT,ACP2788AB05,EASA,1,HX
KHA3233,垫片,,Confirm When Quote,2,HX
KIT5547,MOD KIT,501FAD1-1,JAA FORM1,2,HX
KIT5748,连接头,,JAA FORM1,4,HX
KIT5748,连接头,,Confirm When Quote,1,HX
KM681000CLGI-7L,IC,3907130402,FAA,4,HX
KPT02E14-19P,CONNECTOR,822-1710-204,OEM COC,2,HX
KSS55F223-6,TIMER,,Confirm When Quote,1,HX
KW-405S,显示块,,Confirm When Quote,1,HX
L002550,SCREW,SRDL-OC12D,FAA,1,HX
L050150,NUT,,Confirm When Quote,39,HX
L08-3R47K,"RESISTOR,NETWORK",622-5377-001,EASA,1,HX
L08-3R8-2K,"RESISTOR,NETWORK",S1821502-02,EASA,1,HX
L200051,FILTER,759D0000-02,EASA,1,HX
L540000335,INDUCTOR,RD-FW7790-20,FAA,4,HX
L580000002,FILTER,RD-FW7805-10,FAA,10,HX
L6560AD,IC,S417N514-70,Confirm When Quote,1,HX
L7824C-V,VOLATGE REGULATORS,,Confirm When Quote,18,HX
LA1D10400HM0900,OBRM HOUSING,350E053021212,EASA,1,HX
LA1E01000H3910A,"CARD,BACK MOTHER",350E053021212,EASA,1,HX
LA1E50100H3910C,"CARD,BACK MOTHER",350E5500202,EASA,1,HX
LA2B00400H39300,CARD,LA2B00300A40000,EASA,1,HX
LA2E90200H38600,MICRCRCT,35-0L0-1002-05,EASA,1,HX
LA2H60100H80300,"LABEL,IDENTIFICATION",LA2H60300HM0100,Confirm When Quote,1,HX
LA2H60300H10200,"COUPLING,EQUIPPED",LA2H60300HM0100,EASA,1,HX
LA2H60300H80400,".LABEL,IDENTIFICATION",LA2H60300HM0100,EASA,1,HX
LA2K10100H69000,"SPACER, LENGHT .716",350E053021818,Confirm When Quote,1,HX
LA2K10100H69100,"SPACER, LENGHT 1.582",350E053021818,Confirm When Quote,1,HX
LA2K10200H61500,SCREW,B397BAM0619,EASA,5,HX
LA2L50100H70100,MEZZANINE,LA2L51417HM0100,FAA,1,HX
LA2T0G20705C070,空中交通服务组件,LA2T0G20705C070,Confirm When Quote,1,HX
LA5C611VAC004T1,"SMCNDCTR, NETWORK",LA2K2B100DH0000,EASA,1,HX
LA5CCEDI200,IC,B372BAM0515,EASA,4,HX
LA5D10100H71700,TRANSFORMER,E21327006,EASA,5,HX
LA5E0GENE000001,"LABEL,AMENDMENT",35-0L0-1003-06,EASA,5,HX
LA5F0483P00D005,CONNECTR,LA2E20202T40000,EASA,1,HX
LA5G0FPG000038D,IC,350E5500202,EASA,1,HX
LA5G0FPG000101A,IC,350E053021818,EASA,1,HX
LB2T0BG0503B0F1,ATSU BOOT DISK,LA2T0G20503B050,Confirm When Quote,1,HX
LB2T0BG0705C0F1,ATSU BOOT DISK,LA2T0G20705C070,Confirm When Quote,1,HX
LCB120L,IC,65-52820-2,FAA,7,HX
LCB127STR,.C. OPTO-COUPLER,7743-00361-04,Confirm When Quote,4,HX
LE260-7-80-1,FASTENER,965-1690-052,FAA,2,HX
LF155AH,I.C.,168925-05-01,Confirm When Quote,1,HX
LF398N,"IC,ANALOG",148745,Confirm When Quote,1,HX
LFS42-5,POWER ASSY,,Confirm When Quote,1,HX
LH0070-OH,IC,65-52818-5,Confirm When Quote,1,HX
LH2111D883,IC,755SUE2-4,Confirm When Quote,1,HX
LH28F160S5TL70A,IC,965-1690-052,FAA,2,HX
LM105H/883QS,IC,42-935-2,FAA,1,HX
LM136H5,DIODE,2233000-45,Confirm When Quote,1,HX
LM136H5,DIODE,2233000-45,Confirm When Quote,10,HX
LM137H,TRANSISTOR,4305790120,Confirm When Quote,1,HX
LM201AD,"IC, VOLTAGE COMP",7743-00361-03,FAA,3,HX
LM2901N,IC,U489AAM01,FAA,9,HX
LM320T15,IC,,Confirm When Quote,20,HX
LM35H,TRANSISTOR,C12850BC02,Confirm When Quote,2,HX
LM35H,TRANSISTOR,C12850BC02,Confirm When Quote,6,HX
LM380N,IC,,Confirm When Quote,4,HX
LM723H/883,IC,1663214301,FAA,3,HX
LM741H/883,AMPLIFIER,SEL-OC4AD,FAA,7,HX
LM748J883,IC A2A9 U55,49-117-10,FAA,5,HX
LN9038-03016,SCREW,1803B0000-02,Confirm When Quote,4,HX
LP-10005,SWITCH,4072800-901,FAA,2,HX
LP2989AILD-3.3/NOPB,IC,9600-58-0000,Confirm When Quote,1,HX
LP2989AILD-3.3/NOPBCT-ND,IC,9600-58-0000,Confirm When Quote,5,HX
LP8208-1,CAPACITOR,10-1327-4,FAA,1,HX
LS8833,relay,49-117-10,Confirm When Quote,3,HX
LS8833,relay,49-117-10,Confirm When Quote,6,HX
LT1070HVCT,IC,115370-1016,Confirm When Quote,4,HX
LT1236A1S8-10,IC,49-170-11,FAA,7,HX
LT1359CS,AMPLIFIER,C16221LA03,FAA,18,HX
LT1613CS5,IC,E30389AA,FAA,2,HX
LTC1060ACN,LINEAR,AMU2790CB06,EASA,1,HX
LTC486ISW,"INTEGRATED,CIRCUIT",TLS755-01-0102A,FAA,5,HX
LTC486ISW,"INTEGRATED,CIRCUIT",TLS755-01-0102A,FAA,3,HX
LXML-PL01-0040,LED,9601-58-0000,Confirm When Quote,6,HX
LXMLPWC10120,LED,9601-58-0000,Confirm When Quote,9,HX
LZ315-0005-001,灯,980-6005-076,Confirm When Quote,10,HX
M002861-00B,"PLATE,L CAM",RD-AV1216-01,FAA,2,HX
M00518-00A,BRACKET CAM PLATE,RD-AV1216-01,Confirm When Quote,1,HX
M00518-00A,BRACKET CAM PLATE,RD-AV1216-01,Confirm When Quote,1,HX
M040000070,"MEMORY CARD, SD (4GB)",R8U1FD6815Z,FAA,1,HX
M15733/38-0005,FILTER,7121-19971-01AC,FAA,1,HX
M15733-23-0050,FILTER,30042-0000-0501,OEM COC,2,HX
M21038/27-02,TRANSFORMER,767584K,FAA,2,HX
M21038/27-26,TRANFORMER,767584K,FAA,1,HX
M210-666,6B6-102012,700750-112,FAA,2,HX
M210-666,6B6-102012,700750-112,FAA,2,HX
M22759/11-20-9,Insulated Wire,130502-6,Confirm When Quote,100,HX
M22759/32-24-9,24 AWG White Wire,1303910-101,Confirm When Quote,95,HX
M23053/5-103-0,heat shrink tubing (AMS-DTL- 23053),45-0351-1,Confirm When Quote,1000,HX
M23053/5-203-C,Heat Shrinkable,965-0648-009,Confirm When Quote,75,HX
M23053/5-204-C,Heat Shrinkable,965-0648-009,Confirm When Quote,100,HX
M24236-13DPA,"SWITCH,THERMOSTATIC",168925-07-01,FAA,1,HX
M28861/05-016TB,FILTER,7123-19973-03AB,FAA,1,HX
M300A1A,relay,47215920BB00,OEM COC,5,HX
M300-D4A,relay,1663214301,OEM COC,1,HX
M310000003,RECEIVER,RD-FA5101-19,FAA,1,HX
M3786/4-0871,SWITCH ENCODER,285A1840-10,FAA,2,HX
M38510/10706BYX,MICROCIRCUIT,762187F,FAA,1,HX
M38510/11006BCA,AMP,1150880-1,Confirm When Quote,5,HX
M38510-05003BCX,IC,60-3368-7,EASA,2,HX
M38510-05252BCA,IC,60-3368-7,OEM COC,1,HX
M38510-10101BCB,IC,167550-01-01,Confirm When Quote,8,HX
M38510-10101BPX,LNEAR,166805-14-01,FAA,2,HX
M38510-10103BCA,IC,167550-01-01,Confirm When Quote,6,HX
M38510-10304BPA,IC,SYLZ-52277-2,FAA,4,HX
M38510-11201BCX,IC,60-3368-7,FAA,1,HX
M38510-11601BCA,IC,763810-1,Confirm When Quote,19,HX
M38510-38303BRX,IC,168925-05-01,Confirm When Quote,1,HX
M39003/01-2381,CAP,827-3448-001,FAA,2,HX
M39003/01-2784,CAPACIOR,664700500A4D,Confirm When Quote,4,HX
M39003-01-2514,CAP,K217ABM11,Confirm When Quote,2,HX
M39003-01-6053,CAPACITOR,664700500A4D,Confirm When Quote,5,HX
M39003-01-6092,CAP,2248000-61,FAA,2,HX
M39003-09-2084,CAPACITOR,2117342-19,FAA,4,HX
M39003-09-3054,CAPACITOR,7123-19973-03AB,FAA,1,HX
M39006/21-0144,CAPACITOR,4039892-904,Confirm When Quote,10,HX
M39006/22-0579,CAPACITOR,763810-1,FAA,14,HX
M39006/22-0579,CAPACITOR,763810-1,FAA,10,HX
M39006/22-0580,CAPACITOR,02316-0232-0002,Confirm When Quote,1,HX
M39006/25-0051,CAP,964-0453-011,Confirm When Quote,10,HX
M39006/25-0180,CAPACITOR,763810-3,FAA,2,HX
M39006/25-0180,CAPACITOR,763810-3,FAA,4,HX
M39006/25-0180,CAPACITOR,763810-3,FAA,1,HX
M39006/25-0200H,CAP,964-0453-011,Confirm When Quote,4,HX
M39006/25-0248,CAPACITOR,762185F,FAA,2,HX
M39006-22-0064,CAP,167550-01-01,JAA FORM1,13,HX
M39006-22-0554,CAP,711002-5,FAA,4,HX
M39006-22-0637,CAPACITOR,1151952-15,FAA,2,HX
M39010-03A820KM,"INDUCTOR,",42-935-2,Confirm When Quote,5,HX
M39014/02-1358V,CAPACITOR,763810-1,FAA,1,HX
M39014/02-1407,CAP,42-935-2,FAA,11,HX
M39014/05-2231,CAPACITOR,762185F,FAA,1,HX
M39014/22-0832,CAPACITOR,1151952-11,FAA,2,HX
M39014/22-0856,CAP,2233000-816-1,FAA,5,HX
M39014-01-1299 M3901,CAP,,Confirm When Quote,20,HX
M39014-01-1514,CAP,664700500A4D,FAA,18,HX
M39014-01-1526,CAPACITOR,822-1338-002,Confirm When Quote,29,HX
M39014-01-1593,CAPACITOR,65-52818-9,FAA,2,HX
M39014-02-1355,RESISTOR,,Confirm When Quote,25,HX
M39014-02-1407,CAPACITOR,42-935-2,FAA,2,HX
M39014-02-1411,CAPACITOR,SYLZ-52277-2,FAA,4,HX
M39014-02-1415,CAPACITOR,02316-0232-0002,FAA,1,HX
M39014-02-1415,CAPACITOR,02316-0232-0002,FAA,4,HX
M39014-02-1418,CAP,285N0412-1,Confirm When Quote,49,HX
M39014-05-2073,CAP,168925-05-01,JAA FORM1,6,HX
M39015-03-010XR,RESISTOR-VARIABLE,2117388-15,FAA,1,HX
M39016/18-030L,relay,,Confirm When Quote,2,HX
M39016/20-054L,relay,622814-5,Confirm When Quote,3,HX
M39016/42-033M,relay,2117388-15,OEM COC,1,HX
M39016/7-019P,relay,42-016-04,FAA,7,HX
M39016/7-023L,relay,622-9436-101,FAA,8,HX
M39016/9-023L,relay,1183392,Confirm When Quote,3,HX
M39016/9-023P,relay,7121-19971-01AC,FAA,7,HX
M39016/9-060P,relay,49-117-10,FAA,3,HX
M39016/9-062M,relay,1183392,OEM COC,2,HX
M39016-06-116P,relay,824392-1-003,OEM COC,4,HX
M39016-17-030P,relay,8-336-05,FAA,2,HX
M39016-35-003M,relay,65-52807-73,FAA,1,HX
M39016-42-036M,RELAY,,Confirm When Quote,5,HX
M39018-01-1115M,CAPACITOR,285T0017-104,Confirm When Quote,1,HX
M39018-03-0741,CAPACITOR,39380336,Confirm When Quote,2,HX
M39018-07-0324,CAPACITOR,2117342-18,Confirm When Quote,1,HX
M39018-07-0324,CAPACITOR,2117342-18,Confirm When Quote,2,HX
M39029/11-145,PIN,1151952-19,Confirm When Quote,3,HX
M39029/1-16-20,CONTACT,233A3213-1,FAA,50,HX
M39029/1-16-20,CONTACT,233A3213-1,FAA,45,HX
M39029/22-605,CONTACT,30-2683-9,Confirm When Quote,20,HX
M39029/57-354,CONTACT,9701-14-0001,Confirm When Quote,5,HX
M3STWASH,WASHER,E709-01-001,FAA,7,HX
M3X10CSS,SCREW-COUNTERSINK,3214-90,FAA,4,HX
M55342K04B4E99R,RESISTOR,664700500A4D,FAA,44,HX
M55342M02R150EM,RESISTOR,168925-05-01,Confirm When Quote,1,HX
M5M51008DFP-55HI,IC,K282AAM0305,Confirm When Quote,1,HX
M6106-19-020,relay,285A1200-1,Confirm When Quote,1,HX
M6106-39-003,relay,762185H,Confirm When Quote,1,HX
M72-1735,CONNECTOR,700750-112,FAA,1,HX
M81822/4-A26-0,WIRE,,FAA,28,HX
M818241-3,splice,45-0351-1,OEM COC,20,HX
M8340102M4702GA,IC,65-52819-10,Confirm When Quote,2,HX
M8340105K3012FG,RESISTOR,1-002-0102-2090,Confirm When Quote,19,HX
M8340105K4753FG,RESISTOR,7121-19971-01AC,Confirm When Quote,5,HX
M8340109K1002FC,RESISTOR,7121-19971-01AC,Confirm When Quote,34,HX
M83413-8A003BB,CABLE ASSY,1506993,FAA,12,HX
M83413-8A005BB,CABLE ASSY GROUNDING,K217ABM11,FAA,7,HX
M83421/01-5090R,CAPACITOR,1151952-11,FAA,3,HX
M83421-01-5167M,CAP,166805-08-01,Confirm When Quote,4,HX
M83421-01-5239R,CAP,2117388-6,Confirm When Quote,4,HX
M83536/12-009L,relay,2117342-20,Confirm When Quote,1,HX
M83536/9-022M,relay,4051601-937,Confirm When Quote,2,HX
MA17-06,IC,664700500A4D,FAA,4,HX
MA47200,DIODE,,Confirm When Quote,4,HX
MAC218-6,闸流管,,Confirm When Quote,1,HX
MAL202118681E3,CAP,LA2E20202T30000,FAA,8,HX
MAX294EWE,IC,617-6265-002,FAA,8,HX
MAX306EWI,IC,SIC5059-14-10,FAA,6,HX
MAX329EWE,IC,115370-1318,FAA,14,HX
MAX490ESA,IC,SIC5059-14-20,FAA,5,HX
MAX664ESA,IC,2233000-816-1,FAA,1,HX
MAX8211CPA,"MICROCIRCUIT, LINEAR",ED43A1D5,FAA,5,HX
MAX9164ESD,DRIVER/RECEIVER,066-50007-0111,Confirm When Quote,297,HX
MB09128,TRANSFORMER,759D0000-02,EASA,8,HX
MC14014,IC,607510-3,Confirm When Quote,8,HX
MC14053BALDS,MICROCIRCUIT,622-4096-001,Confirm When Quote,1,HX
MC1413BDR2GOSCT-ND,IC,822-1710-204,Confirm When Quote,3,HX
MC14502BAL,IC,42-016-04,Confirm When Quote,1,HX
MC14511BCP,I.C.,76450-01076-105,Confirm When Quote,4,HX
MC14538BCP,IC,83000-05604,Confirm When Quote,9,HX
MC1458G,IC,,Confirm When Quote,1,HX
MC1488MTL,SAC IC,,Confirm When Quote,3,HX
MC14LC5540DW,IC,2100-1020-02,FAA,2,HX
MC33172D,"MICROCIRCUIT, LINEAR",B494AAM0617,OEM COC,2,HX
MC3448AP,I.C.,,Confirm When Quote,5,HX
MC54HC165J,I.C.,87292325V07,Confirm When Quote,4,HX
MC54HC589J,IC,K217ABM11,FAA,2,HX
MC54HC589J,IC,K217ABM11,FAA,6,HX
MC54HC85J,IC,4061100-901,Confirm When Quote,7,HX
MC68040FE33A,IC,176200-01-01,FAA,1,HX
MC68040RC25A,"IC, CPU",C12848CA01,FAA,1,HX
MC68882RC25A,IC,2233000-816-1,FAA,1,HX
MC68882RC25A,IC,2233000-816-1,FAA,1,HX
MC68HC11E1FN,MICROCONTROLLER,824392-1-003,Confirm When Quote,1,HX
MC68HC711E9CFNE2,IC,C19266DA01,FAA,3,HX
MC74ACT244DW,IC,LA2E50200H3310D,FAA,37,HX
MC74ACT245DW,IC,622-4717-004,FAA,23,HX
MC74HC151D,IC,9599-607-14942,FAA,3,HX
MC74HC174ADG,IC,9599-607-14942,FAA,7,HX
MC74HC4020D,IC,115370-1318,FAA,48,HX
MC74HCT244N,IC,ED43A1D5,FAA,3,HX
MC74HCT245AN,IC,ED43A1D5,FAA,34,HX
MC74VHCT08ADR2G,IC,822-1710-002,Confirm When Quote,2,HX
MC7805CK,IC,87232323V01,Confirm When Quote,6,HX
MC7815CT,IC,8055515-4507,OEM COC,15,HX
MC7905CK,IC,743-129-010,Confirm When Quote,5,HX
MC7915CK,IC,743-129-010,Confirm When Quote,5,HX
MC936L,IC,,Confirm When Quote,3,HX
MC962L,IC,,Confirm When Quote,4,HX
MCH2512K4701FB,RESISTOR,4083345-2,Confirm When Quote,132,HX
MCR18EZPF1002,RESISTOR,7500-00185-01,OEM COC,5,HX
MCR18EZPF2201,RESISTOR,49-170-11,OEM COC,46,HX
MCT61,COUPLER,AMU2790CB06,FAA,22,HX
MD2HD256005D,VMU TESTER SOFTWARE,RD-AA5002-22,OEM COC,1,HX
MD2HD256006B,TEST SOFTWARE,RD-AV1216-01,OEM COC,1,HX
MD2HD256035A,CDR TEST SOFTWARE,RD-AX7095-01,OEM COC,1,HX
MD8080A/B,IC,367-010-011,Confirm When Quote,1,HX
MD8259A/B,ACQ IC67,C202163392E34,Confirm When Quote,1,HX
MD82C84A/B,IC A1-U202,49-117-10,FAA,1,HX
MD82C88/B,IC A1-U203,49-117-10,FAA,1,HX
